target,predicted
kuŋ maj 'makina naŋ 'ʔoɾas ka 'ʔaliŋ ta'ʔon ka bibi'sita,kuŋ maj 'makina naŋ 'ʔoɾas ka ʔa'liŋ ta'ʔon ka bibi'sita
'ɡusto 'koŋ ma'tuloɡ,ɡus'to 'koŋ ma'tuloɡ
mata'mis ʔaŋ pulotpuk'jutan 'ŋunit nanu'nusok ʔaŋ bu'bujoɡ,mata'mis ʔaŋ pu'lotpukju'tan 'ŋunit nanu'nusok ʔaŋ bu'bujoɡ
'sanaj wa'laŋ katapu'san ʔaŋ taɡ'ʔinit,'sanaj wa'laŋ katapu'san ʔaŋ taɡ'ʔinit
ɡus'to ko 'juŋ 'ʔaso,ɡus'to ko 'juŋ 'ʔaso
naɡʔin'taj ʔa'ko,naɡin'taj ʔa'ko
ba'ka toto'ʔo ʔaŋ ʔis'toɾja ni'a,ba'kaʔ toto'ʔo ʔaŋ ʔis'toɾja ni'a
maʔa'ʔaɾiʔ ba 'tajoŋ suma'jaw,maʔa'ʔaɾiʔ ba 'tajoŋ suma'jaw
la'hat nakaɡu'antes,la'hat nakaɡuan'tes
matu'tuloɡ na ʔa'ko,matu'tuloɡ na ʔa'ko
ma'hiɾap panati'lihiŋ ma'ʔajos ʔaŋ ku'aɾto ko,ma'hiɾap panati'lihiŋ ma'ʔajos ʔaŋ ku'aɾto ko
'ʔoʔo na'man,'ʔoʔo na'man
maɡan'daŋ ʔu'maɡa maɡhahan'daʔ na ba ʔa'ko,maɡan'daŋ ʔu'maɡa maɡhahan'daʔ na ba ʔa'ko
muk'haŋ ʔinteɾe'sado tala'ɡa si 'tom kaj 'meɾi,muk'haŋ ʔinteɾe'sado tala'ɡa si 'tom kaj 'meɾi
'ɡusto nin'joŋ ku'maʔin naŋ ʔanu'man,ɡus'to nin'joŋ ku'maʔin naŋ ʔanu'man
ʔa'ko ʔaj maj si'pon ŋa'jon,ʔa'ko ʔaj maj si'pon ŋa'jon
'ʔajaw na ni'jaŋ paɡʔu'sapan pa tuŋ'kol do'ʔon,'ʔajaw na ni'jaŋ paɡʔu'sapan pa tuŋ'kol do'ʔon
pina'tawad ka ni'la,pina'tawad ka ni'la
si'a ʔaŋ pinapa'ŋaɾap 'koŋ ba'baʔe,si'a ʔaŋ pinapa'ŋaɾap 'koŋ ba'baʔe
'ʔamin ʔi'toŋ 'supot,'ʔamin i'toŋ 'supot
majɾo'ʔon 'kaŋ li'maŋ mi'nuto 'paɾa makapaɡ'bihis ʔat buma'baʔ,majɾo'ʔon 'kaŋ li'maŋ mi'nuto 'paɾa makapaɡbi'his ʔat buma'baʔ
lu'mapit ka,lu'mapit ka
pu'ede 'moŋ ɡa'win ʔi'an,pu'ede moŋ ɡa'win ʔi'an
'mas 'ɡusto ko ʔaŋ ma'ʔinit na t͡ʃa'ʔa kaj'sa mala'miɡ,'mas ɡus'to ko ʔaŋ ma'ʔinit na t͡ʃa'ʔa kaj'sa mala'miɡ
mas'jadoŋ mabi'ɡat i'toŋ ka'hon 'paɾa bitbi'tin ko,mas'jadoŋ mabi'ɡat i'toŋ ka'hon 'paɾa bitbi'tin ko
'suɡod,su'ɡod
muk'haŋ pa'ɡod si 'tom,muk'haŋ pa'ɡod si 'tom
wa'laʔ sa lo'ʔob si 'tom,wa'laʔ sa lo'ʔob si 'tom
nakapu'lot ʔa'ko naŋ pi'takaʔ sa kal'sada,naka'pulot ʔa'ko naŋ pi'takaʔ sa kal'sada
kina'kaʔin ni'la i'toŋ ma'ŋa 'baɡaj,kina'kaʔin ni'la i'toŋ ma'ŋa 'baɡaj
bun'tis ba ʔa'ko,bun'tis ba ʔa'ko
sini'pon si 'kejt,sini'pon si 'kejt
ʔaŋ 'afɾika 'ʔaj hin'diʔ 'ʔisaŋ ban'saʔ,ʔaŋ 'ʔafɾika ʔaj hin'diʔ ʔi'saŋ ban'saʔ
kal'bo si 'tom,kal'bo si 'tom
ɡus'to moŋ maɡpahi'ŋa,ɡus'to moŋ maɡpahi'ŋa
pa'ʔano ʔaŋ 'lasa naŋ 'sopas,pa'ʔano ʔaŋ 'lasa naŋ 'sopas
pina'linis ko ʔaŋ 'kwaɾto ko sa kan'ja,pinali'nis ko ʔaŋ 'kwaɾto ko sa kan'ja
hin'diʔ ʔa'ko mala'miɡ na tu'ɡon naŋ 'ʔiŋɡliʃman,hin'diʔ ʔa'ko mala'miɡ na tu'ɡon naŋ 'iŋɡliʃman
ʔuˌmiʔi'nom ka ba naŋ 'beɾdeŋ 't͡ʃa,ʔuˌmiʔi'nom ka ba naŋ 'beɾdeŋ 't͡ʃa
majɾo'ʔon ʔa'koŋ 'mapa naŋ mun'do,majɾo'ʔon ʔa'koŋ 'mapa naŋ mun'do
'mesa ʔi'on,'mesa ʔi'on
ʔa'noŋ 'ɡandaŋ 'ɾosas ʔi'to,ʔa'noŋ ɡan'daŋ 'ɾosas ʔi'to
ʔaŋ paɡpapasa'lamat ʔaj pinala'laja 'tajo mu'la sa ma'ŋa nakala'lasoŋ ʔemos'jon,ʔaŋ paɡpapasa'lamat ʔaj pinala'lajaʔ 'tajo mu'la sa ma'ŋa nakala'lasoŋ ʔemos'jon
napaka'dilim naŋ ɡa'bi,napakadi'lim naŋ ɡa'bi
bibil'hin ko di 'bale na ʔaŋ 'pɾesjo,bibil'hin ko diʔ 'bale na ʔaŋ 'pɾesjo
hin'diʔ ko hinihi'ŋiʔ ʔaŋ kani'laŋ ma'ŋa ʔopin'jon,hin'diʔ ko hinihi'ŋiʔ ʔaŋ kani'laŋ ma'ŋa ʔopin'jon
maʔaʔan'talaʔ ʔaŋ paɡʔa'lis naŋ 'tɾen,maʔaʔan'tala ʔaŋ paɡʔa'lis naŋ 'tɾen
pakipintuɾa'han ʔaŋ pin'toŋ pu'tiʔ,pakipintuɾa'han ʔaŋ pin'toŋ pu'tiʔ
sa taɡla'miɡ ʔaŋ ma'ŋa 'ʔaɾaw ʔaj 'mas maʔik'liʔ,sa taɡla'miɡ ʔaŋ ma'ŋa 'ʔaɾaw ʔaj 'mas maʔik'liʔ
ma'buti na'man ʔa'ko,ma'buti na'man ʔa'ko
ʔumi'nom ka naŋ 't͡ʃa,ʔumi'nom ka naŋ 't͡ʃa
ʔaŋ ti'napaj ʔaj ɡa'waʔ sa 'tɾiɡo,ʔaŋ ti'napaj ʔaj ɡa'waʔ sa 'tɾiɡo
hin'diʔ ʔumi'ʔikot ʔaŋ 'mundo sa'jo,hin'diʔ ʔumi'ʔikot ʔaŋ mun'do sa'jo
ali'nisan ko la 'so 'kwaɾtok,ʔali'nisan ko la 'soʔ kuaɾ'tok
la'hat ʔaj naɡba'baɡo,la'hat ʔaj naɡba'baɡo
ɡi'namit ni'a ʔaŋ ka'njaŋ 'pajoŋ naŋ san'data,ɡi'namit ni'a ʔaŋ ka'njaŋ 'pajoŋ naŋ san'data
wa'laʔ ʔa'koŋ naʔiʔintindi'han,wa'laʔ ʔa'koŋ naʔiʔintindi'han
diʔ ki'ta ʔaŋ kaʔiba'han naŋ kaɾa'mihan,diʔ ki'ta ʔaŋ kaʔiba'han naŋ kaɾa'mihan
hin'diʔ naŋaŋa'ɡat ʔaŋ ma'ŋa 'ʔasoŋ tumata'hol,hin'diʔ naŋaŋa'ɡat ʔaŋ ma'ŋa 'ʔasoŋ tumata'hol
pinahi'ɾam ko ʔaŋ 'ʔakiŋ ʔameɾi'kana sa ʔi'saŋ kaʔi'biɡan naŋ kapa'tid ko,pinahi'ɾam ko ʔaŋ 'ʔakiŋ ʔameɾi'kana sa ʔi'saŋ kaʔi'biɡan naŋ kapa'tid ko
hin'diʔ ko pɾi'nito ʔaŋ 'donat,hin'diʔ ko pɾi'nito ʔaŋ 'donat
naka'tuloŋ ʔi'on,naka'tuloŋ ʔi'on
si 'alisteɾ ʔaŋ si'aŋ puma'taj kaj 'baɾbaɾa,si 'ʔalisteɾ ʔaŋ si'aŋ puma'taj kaj 'baɾbaɾa
hin'diʔ ka na 'bataʔ,hin'diʔ ka na 'bataʔ
ma'ɾamiŋ sa'lamat sa paɡʔimbi'ta sa 'ʔakin,ma'ɾamiŋ sa'lamat sa paɡʔimbi'ta sa 'ʔakin
kali'linis 'laŋ 'namin naŋ ma'ŋa ku'beta,kali'linis 'laŋ 'namin naŋ ma'ŋa ku'beta
siɡu'ɾado ka 'baŋ ʔa'jaw moŋ ɡa'win ʔi'on,siɡu'ɾado ka 'baŋ 'ʔajaw moŋ ɡa'win ʔi'on
na'saʔ 'kɾisis ʔaŋ ʔew'ɾopa,'nasa 'kɾisis ʔaŋ ʔew'ɾopa
bumi'li si to'mas ʔat ma'ɾia naŋ 'bahaj na maj palaŋu'jan,bumi'li si to'mas ʔat ma'ɾia naŋ 'bahaj na maj pala'ŋujan
ɡus'to ko ʔi'toŋ 'ʔasoŋ ʔi'to,ɡus'to ko i'toŋ 'ʔasoŋ ʔi'to
naka'sulat sa ʔiŋ'ɡles ʔaŋ ʔaɾ'tikuloŋ ʔi'on,naka'sulat sa ʔiŋ'ɡles ʔaŋ ʔaɾti'kuloŋ ʔi'on
pini'ɡil ni'la ʔaŋ 'musika,pi'niɡil ni'la ʔaŋ 'musika
na'kita mo ba si'la,na'kita mo ba si'la
sumi'ɡaw ʔa'ko,sumi'ɡaw ʔa'ko
ʔaŋ 'bolpen na ʔibini'ɡaj ko kaj 'saɾa ʔaj pu'la,ʔaŋ 'bolpen na ʔibini'ɡaj ko kaj 'saɾa ʔaj pu'la
maj katahi'mikan sa ku'aɾto,maj katahi'mikan sa ku'aɾto
maj maɡaɡan'daŋ ʔaɾkitek'tuɾa ʔaŋ ma'ŋa da'juhaŋ ban'saʔ,maj maɡaɡan'daŋ ʔaɾkitek'tuɾa ʔaŋ ma'ŋa da'juhaŋ ban'saʔ
maj ʔi'saŋ ba'baʔeŋ taɡaʔa'meɾika sa 'klase 'namin,maj ʔi'saŋ ba'baʔeŋ taɡaʔa'meɾika sa 'klase 'namin
'mas kompli'kado kaj'sa sa ʔi'an,'mas kompli'kado kaj'sa sa ʔi'an
ma'hinaʔ si 'tom sa pɾan'ses,ma'hinaʔ si 'tom sa pɾan'ses
ʔina'min naŋ la'laki na pi'nasok ni'a ʔaŋ 'bahaj,ʔina'min naŋ la'laki na pina'sok ni'a ʔaŋ 'bahaj
su'mulat si'a naŋ ʔi'saŋ 'liham,su'mulat si'a naŋ ʔi'saŋ 'liham
pinapa'ŋaɾap 'koŋ pumun'ta sa 'meksiko,pinapa'ŋaɾap 'koŋ pumun'ta sa 'mehiko
bu'lok ʔaŋ ʔa'moj ni'toŋ paɡ'kaʔin,bu'lok ʔaŋ ʔa'moj ni'toŋ paɡ'kaʔin
maj naɾaɾamda'man ʔa'ko,maj naɾaɾam'daman ʔa'ko
'ʔunaŋ 'beses 'koŋ lumi'pad sa ʔeɾo'plano,'ʔunaŋ 'beses 'koŋ lumi'pad sa ʔeɾo'plano
ʔuli'tin mo,ʔuli'tin mo
diʔ pa si'a ʔumu'iʔ ʔa'no,diʔ pa si'a ʔumu'iʔ ʔa'no
ʔi'toŋ 'lawaj ʔi'sa sa pinaka'lalim sa ban'saʔ,ʔi'toŋ 'lawaj ʔi'sa sa pinaka'lalim sa ban'saʔ
'sana 'mas mataŋ'kad ʔa'ko naŋ kaʔun'tiʔ,'sana 'mas mataŋ'kad ʔa'ko naŋ kaʔun'tiʔ
ʔaŋ ɾe'lo moj 'nasa 'mesa,ʔaŋ ɾe'lo moj 'nasa 'mesa
ʔaŋ hin'diʔ paɡ'suloŋ ʔaj paɡba'lik,ʔaŋ hin'diʔ paɡ'suloŋ ʔaj paɡba'lik
bi'hiɾaʔ 'laŋ ʔumu'lan 'dito,bi'hiɾaʔ 'laŋ ʔumu'lan 'dito
a'jokoŋ mala'man kuŋ ʔa'no ʔaŋ pa'ŋalan ni'a,ʔaju'koŋ ma'laman kuŋ ʔa'no ʔaŋ pa'ŋalan ni'a
'sinoŋ nana'nalo,'sinoŋ nana'nalo
ʔipinaɡkan'ta 'namin si'a,ʔipinaɡkan'ta 'namin si'a
ʔa'no ʔaŋ 'tawaɡ sa 'ʔibon na ʔi'an,ʔa'no ʔaŋ 'tawaɡ sa 'ʔibon na ʔi'an
paɡ'ka nawa'laʔ ʔaŋ 'ʔoɾas ʔaj diʔ mababa'wiʔ,paɡ'ka nawa'laʔ ʔaŋ 'ʔoɾas ʔaj diʔ maba'bawiʔ
ʔinu'min ʔaŋ 'ɡatas mo,ʔinu'min ʔaŋ 'ɡatas mo
sa ŋa'jon kaʔi'laŋan 'natiŋ maɡtɾa'baho ŋa'joŋ 'wikend,sa ŋa'jon kaʔi'laŋan 'natiŋ maɡtɾa'baho ŋa'joŋ 'wikend
ʔaŋ ʔaɡ'ham ʔaj hin'diʔ ɾelihi'on,ʔaŋ ʔaɡ'ham ʔaj hin'diʔ ɾelihi'on
nasa'ʔan ʔaŋ 'banjo,nasa'ʔan ʔaŋ 'banjo
kuŋ maj 'ʔoɾas 'laŋ ʔa'ko pupun'ta 'sana ʔa'ko sa sine'han,kuŋ maj 'ʔoɾas 'laŋ ʔa'ko pu'punta 'sana ʔa'ko sa sine'han
ʔaŋ kaɾaha'san ʔaj tuma'ɡal naŋ da'lawaŋ liŋ'ɡo,ʔaŋ kaɾaha'san ʔaj tuma'ɡal naŋ dala'waŋ liŋ'ɡo
